goos: linux
goarch: amd64
pkg: github.com/petenewcomb/psg-go
cpu: Intel(R) Core(TM) i7-10510U CPU @ 1.80GHz
BenchmarkCombinerThroughput/workload=processing/duration=10µs/flushPeriod=10µs/method=combine/combinerLimit=2-8            	    5588	    226937 ns/op	         0.7854 avg-combiner-concurrency	         3.000 max-depth	     70000 max-nominal-workflow-duration-ns	         1.000 p01-combine-count	         1.000 p50-combine-count	     10358 p50-combine-duration-ns	     52405 p50-combine-latency-ns	    125874 p50-combine-workflow-latency-ns	     10269 p50-gather-duration-ns	     32365 p50-gather-latency-ns	     55306 p50-task-latency-ns	    173918 p50-workflow-latency-ns	         1.000 p99-combine-count	     49082 p99-combine-duration-ns	    373364 p99-combine-latency-ns	    434976 p99-combine-workflow-latency-ns	     34855 p99-gather-duration-ns	    519054 p99-gather-latency-ns	    203906 p99-task-latency-ns	    747168 p99-workflow-latency-ns	         9.104 tasks/op	     40117 tasks/sec	        16.01 tasks/top-level-task	      28 B/op	       0 allocs/op
BenchmarkCombinerThroughput/workload=processing/duration=10µs/flushPeriod=10µs/method=combine/combinerLimit=2-8            	    5533	    233988 ns/op	         0.7924 avg-combiner-concurrency	         3.000 max-depth	     70000 max-nominal-workflow-duration-ns	         1.000 p01-combine-count	         1.000 p50-combine-count	     10359 p50-combine-duration-ns	     53220 p50-combine-latency-ns	    126368 p50-combine-workflow-latency-ns	     10268 p50-gather-duration-ns	     32273 p50-gather-latency-ns	     55785 p50-task-latency-ns	    174013 p50-workflow-latency-ns	         1.000 p99-combine-count	     48836 p99-combine-duration-ns	    383919 p99-combine-latency-ns	    452728 p99-combine-workflow-latency-ns	     34867 p99-gather-duration-ns	    522034 p99-gather-latency-ns	    210977 p99-task-latency-ns	    744203 p99-workflow-latency-ns	         9.459 tasks/op	     40426 tasks/sec	        15.99 tasks/top-level-task	       2 B/op	       0 allocs/op
BenchmarkCombinerThroughput/workload=processing/duration=10µs/flushPeriod=10µs/method=combine/combinerLimit=2-8            	    6140	    233783 ns/op	         0.7854 avg-combiner-concurrency	         3.000 max-depth	     70000 max-nominal-workflow-duration-ns	         1.000 p01-combine-count	         1.000 p50-combine-count	     10359 p50-combine-duration-ns	     51955 p50-combine-latency-ns	    125216 p50-combine-workflow-latency-ns	     10274 p50-gather-duration-ns	     32215 p50-gather-latency-ns	     55612 p50-task-latency-ns	    173259 p50-workflow-latency-ns	         1.000 p99-combine-count	     48906 p99-combine-duration-ns	    363321 p99-combine-latency-ns	    428690 p99-combine-workflow-latency-ns	     34767 p99-gather-duration-ns	    527497 p99-gather-latency-ns	    217547 p99-task-latency-ns	    755204 p99-workflow-latency-ns	         9.440 tasks/op	     40380 tasks/sec	        16.00 tasks/top-level-task	      17 B/op	       0 allocs/op
BenchmarkCombinerThroughput/workload=processing/duration=10µs/flushPeriod=10µs/method=combine/combinerLimit=3-8            	    5244	    270874 ns/op	         0.7890 avg-combiner-concurrency	         3.000 max-depth	     70000 max-nominal-workflow-duration-ns	         1.000 p01-combine-count	         1.000 p50-combine-count	     10383 p50-combine-duration-ns	     21944 p50-combine-latency-ns	     96467 p50-combine-workflow-latency-ns	     10279 p50-gather-duration-ns	     54336 p50-gather-latency-ns	     58284 p50-task-latency-ns	    170420 p50-workflow-latency-ns	         1.000 p99-combine-count	     50233 p99-combine-duration-ns	    228215 p99-combine-latency-ns	    357728 p99-combine-workflow-latency-ns	     35685 p99-gather-duration-ns	    689313 p99-gather-latency-ns	    289446 p99-task-latency-ns	    858050 p99-workflow-latency-ns	        10.57 tasks/op	     39014 tasks/sec	        16.00 tasks/top-level-task	       3 B/op	       0 allocs/op
BenchmarkCombinerThroughput/workload=processing/duration=10µs/flushPeriod=10µs/method=combine/combinerLimit=3-8            	    4308	    269735 ns/op	         0.7832 avg-combiner-concurrency	         3.000 max-depth	     70000 max-nominal-workflow-duration-ns	         1.000 p01-combine-count	         1.000 p50-combine-count	     10383 p50-combine-duration-ns	     21706 p50-combine-latency-ns	     95993 p50-combine-workflow-latency-ns	     10283 p50-gather-duration-ns	     54465 p50-gather-latency-ns	     57736 p50-task-latency-ns	    170389 p50-workflow-latency-ns	         1.000 p99-combine-count	     50132 p99-combine-duration-ns	    220856 p99-combine-latency-ns	    354118 p99-combine-workflow-latency-ns	     35735 p99-gather-duration-ns	    700621 p99-gather-latency-ns	    287775 p99-task-latency-ns	    859637 p99-workflow-latency-ns	        10.51 tasks/op	     38965 tasks/sec	        16.00 tasks/top-level-task	       3 B/op	       0 allocs/op
BenchmarkCombinerThroughput/workload=processing/duration=10µs/flushPeriod=10µs/method=combine/combinerLimit=3-8            	    4228	    279186 ns/op	         0.7923 avg-combiner-concurrency	         3.000 max-depth	     70000 max-nominal-workflow-duration-ns	         1.000 p01-combine-count	         1.000 p50-combine-count	     10383 p50-combine-duration-ns	     22369 p50-combine-latency-ns	     97116 p50-combine-workflow-latency-ns	     10275 p50-gather-duration-ns	     54664 p50-gather-latency-ns	     57865 p50-task-latency-ns	    172046 p50-workflow-latency-ns	         1.000 p99-combine-count	     50037 p99-combine-duration-ns	    251921 p99-combine-latency-ns	    382144 p99-combine-workflow-latency-ns	     35297 p99-gather-duration-ns	    702820 p99-gather-latency-ns	    288120 p99-task-latency-ns	    880846 p99-workflow-latency-ns	        11.00 tasks/op	     39392 tasks/sec	        16.00 tasks/top-level-task	      18 B/op	       0 allocs/op
BenchmarkCombinerThroughput/workload=processing/duration=10µs/flushPeriod=10µs/method=combine/combinerLimit=3-8            	    5502	    275969 ns/op	         0.7875 avg-combiner-concurrency	         3.000 max-depth	     70000 max-nominal-workflow-duration-ns	         1.000 p01-combine-count	         1.000 p50-combine-count	     10382 p50-combine-duration-ns	     21715 p50-combine-latency-ns	     96420 p50-combine-workflow-latency-ns	     10275 p50-gather-duration-ns	     53893 p50-gather-latency-ns	     57789 p50-task-latency-ns	    169454 p50-workflow-latency-ns	         1.000 p99-combine-count	     49969 p99-combine-duration-ns	    231980 p99-combine-latency-ns	    355970 p99-combine-workflow-latency-ns	     35380 p99-gather-duration-ns	    685649 p99-gather-latency-ns	    291673 p99-task-latency-ns	    854492 p99-workflow-latency-ns	        10.80 tasks/op	     39148 tasks/sec	        16.00 tasks/top-level-task	      13 B/op	       0 allocs/op
BenchmarkCombinerThroughput/workload=processing/duration=10µs/flushPeriod=10µs/method=combine/combinerLimit=3-8            	    4230	    272260 ns/op	         0.7886 avg-combiner-concurrency	         3.000 max-depth	     70000 max-nominal-workflow-duration-ns	         1.000 p01-combine-count	         1.000 p50-combine-count	     10383 p50-combine-duration-ns	     22068 p50-combine-latency-ns	     97035 p50-combine-workflow-latency-ns	     10281 p50-gather-duration-ns	     54561 p50-gather-latency-ns	     57506 p50-task-latency-ns	    172152 p50-workflow-latency-ns	         1.000 p99-combine-count	     49999 p99-combine-duration-ns	    246187 p99-combine-latency-ns	    373512 p99-combine-workflow-latency-ns	     35328 p99-gather-duration-ns	    722610 p99-gather-latency-ns	    288426 p99-task-latency-ns	    894331 p99-workflow-latency-ns	        10.69 tasks/op	     39262 tasks/sec	        16.00 tasks/top-level-task	      19 B/op	       0 allocs/op
BenchmarkCombinerThroughput/workload=processing/duration=10µs/flushPeriod=10µs/method=combine/combinerLimit=3-8            	    4394	    275492 ns/op	         0.7919 avg-combiner-concurrency	         3.000 max-depth	     70000 max-nominal-workflow-duration-ns	         1.000 p01-combine-count	         1.000 p50-combine-count	     10384 p50-combine-duration-ns	     22278 p50-combine-latency-ns	     97306 p50-combine-workflow-latency-ns	     10275 p50-gather-duration-ns	     54415 p50-gather-latency-ns	     57959 p50-task-latency-ns	    172033 p50-workflow-latency-ns	         1.000 p99-combine-count	     49877 p99-combine-duration-ns	    253660 p99-combine-latency-ns	    400147 p99-combine-workflow-latency-ns	     35292 p99-gather-duration-ns	    707603 p99-gather-latency-ns	    292135 p99-task-latency-ns	    885341 p99-workflow-latency-ns	        10.88 tasks/op	     39485 tasks/sec	        16.00 tasks/top-level-task	      22 B/op	       0 allocs/op
BenchmarkCombinerThroughput/workload=processing/duration=10µs/flushPeriod=10µs/method=combine/combinerLimit=4-8            	    3639	    327488 ns/op	         0.8029 avg-combiner-concurrency	         3.000 max-depth	     70000 max-nominal-workflow-duration-ns	         1.000 p01-combine-count	         1.000 p50-combine-count	     10398 p50-combine-duration-ns	     16799 p50-combine-latency-ns	     82685 p50-combine-workflow-latency-ns	     10282 p50-gather-duration-ns	     76073 p50-gather-latency-ns	     55983 p50-task-latency-ns	    182246 p50-workflow-latency-ns	         1.000 p99-combine-count	     50495 p99-combine-duration-ns	    145118 p99-combine-latency-ns	    458787 p99-combine-workflow-latency-ns	     35585 p99-gather-duration-ns	    775079 p99-gather-latency-ns	    444559 p99-task-latency-ns	    913066 p99-workflow-latency-ns	        12.76 tasks/op	     38948 tasks/sec	        16.00 tasks/top-level-task	      23 B/op	       0 allocs/op
